Model Params: 30.03M
Trainable Params: 30.025M
策略模型总参数量：30.025 M
Model Params: 30.03M
Trainable Params: 30.025M
参考模型总参数量：30.025 M
Generating train split: 0 examples [00:00, ? examples/s]Generating train split: 17166 examples [00:00, 167057.45 examples/s]Generating train split: 17166 examples [00:00, 166411.48 examples/s]
Epoch:[1/1](1360/4292), loss: 0.7015, dpo_loss: 0.7015, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1380/4292), loss: 0.6293, dpo_loss: 0.6293, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1400/4292), loss: 0.9834, dpo_loss: 0.9834, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1420/4292), loss: 0.5703, dpo_loss: 0.5703, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1440/4292), loss: 0.5912, dpo_loss: 0.5912, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1460/4292), loss: 0.5789, dpo_loss: 0.5789, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1480/4292), loss: 0.5190, dpo_loss: 0.5190, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1500/4292), loss: 0.7811, dpo_loss: 0.7811, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1520/4292), loss: 0.5276, dpo_loss: 0.5276, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1540/4292), loss: 0.4769, dpo_loss: 0.4769, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1560/4292), loss: 0.5641, dpo_loss: 0.5641, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1580/4292), loss: 0.6274, dpo_loss: 0.6274, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1600/4292), loss: 0.6014, dpo_loss: 0.6014, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1620/4292), loss: 0.5562, dpo_loss: 0.5562, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1640/4292), loss: 0.7150, dpo_loss: 0.7150, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1660/4292), loss: 0.5141, dpo_loss: 0.5141, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1680/4292), loss: 0.6294, dpo_loss: 0.6294, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1700/4292), loss: 0.6345, dpo_loss: 0.6345, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1720/4292), loss: 0.5083, dpo_loss: 0.5083, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1740/4292), loss: 0.5145, dpo_loss: 0.5145, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1760/4292), loss: 0.6609, dpo_loss: 0.6609, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1780/4292), loss: 0.5942, dpo_loss: 0.5942, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
Epoch:[1/1](1800/4292), loss: 0.5613, dpo_loss: 0.5613, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 4.000min
